Titel,Retskilde[Titel],Retskilde[PellerK],Retskilde[Accessionsnr],Fritekst
"BEK om tilskud til pasning af børn med handicap eller langvarig sygdom_B20150003205_Kap2-3","BEK om tilskud til pasning af børn med handicap eller langvarig sygdom","Kap.2-3","B20150003205_Kap2-3",[[Category:NaN_KLE_Data]]
"BEK om ydelser efter lov om social service under midlertidige ophold i udlandet_B20090129605","BEK om ydelser efter lov om social service under midlertidige ophold i udlandet","","B20090129605",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P119-122","Serviceloven","§ 119-122","A20150015029_P119-122",[[Category:NaN_KLE_Data]]
"Integrationsloven_A20140109429_P23f","Integrationsloven","§ 23f","A20140109429_P23f",[[Category:NaN_KLE_Data]]
"Integrationsloven_A20140109429_P35","Integrationsloven","§ 35","A20140109429_P35",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P81","LBK om aktiv socialpolitik","§ 81","A20140119329_P81",[[Category:NaN_KLE_Data]]
"Lov om ændring af lov om aktiv socialpolitik (Midlertidig huslejehjælp)_A20140072330","Lov om ændring af lov om aktiv socialpolitik (Midlertidig huslejehjælp)","","A20140072330",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P81a-81b","LBK om aktiv socialpolitik","§ 81a-81b","A20140119329_P81a-81b",[[Category:NaN_KLE_Data]]
"Integrationsloven_A20140109429_P36","Integrationsloven","§ 36","A20140109429_P36",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P82","LBK om aktiv socialpolitik","§ 82","A20140119329_P82",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P82a","LBK om aktiv socialpolitik","§ 82a","A20140119329_P82a",[[Category:NaN_KLE_Data]]
"Integrationsloven_A20140109429_P37-38","Integrationsloven","§ 37-38","A20140109429_P37-38",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P83-84","LBK om aktiv socialpolitik","§ 83-84","A20140119329_P83-84",[[Category:NaN_KLE_Data]]
"Integrationsloven_A20140109429_P39","Integrationsloven","§ 39","A20140109429_P39",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P85","LBK om aktiv socialpolitik","§ 85","A20140119329_P85",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P85a","LBK om aktiv socialpolitik","§ 85a","A20140119329_P85a",[[Category:NaN_KLE_Data]]
"BEK om efterlevelseshjælp_B20150055305","BEK om efterlevelseshjælp","","B20150055305",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P90","LBK om aktiv socialpolitik","§ 90","A20140119329_P90",[[Category:NaN_KLE_Data]]
"Lov om ændring af lov om aktiv socialpolitik SU-loven lov om børnetilskud og forskudsvis udbetaling af børnebidrag og forskellige andre love_A20130089430","Lov om ændring af lov om aktiv socialpolitik, SU-loven, lov om børnetilskud og forskudsvis udbetaling af børnebidrag og forskellige andre love","","A20130089430",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P2a-2c","LBK om aktiv socialpolitik","§ 2a-2c","A20140119329_P2a-2c",[[Category:NaN_KLE_Data]]
"Lov om ændring af lov om aktiv socialpolitik og lov om en aktiv beskæftigelsesindsats_A20140072130","Lov om ændring af lov om aktiv socialpolitik og lov om en aktiv beskæftigelsesindsats","","A20140072130",[[Category:NaN_KLE_Data]]
"Lov om ændring af lov om aktiv socialpolitik SU-loven lov om børnetilskud og forskudsvis udbetaling af børnebidrag og forskellige andre love_A20130089430","Lov om ændring af lov om aktiv socialpolitik, SU-loven, lov om børnetilskud og forskudsvis udbetaling af børnebidrag og forskellige andre love","","A20130089430",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P11","LBK om aktiv socialpolitik","§ 11","A20140119329_P11",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P47","LBK om aktiv socialpolitik","§ 47, Stk.4","A20140119329_P47",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P12a-12b","LBK om aktiv socialpolitik","§ 12a-12b","A20140119329_P12a-12b",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P25-33","LBK om aktiv socialpolitik","§ 25-33","A20140119329_P25-33",[[Category:NaN_KLE_Data]]
"BEK om kommunernes ret til refusion af udgifterne til uddannelseshjælp kontanthjælp revalideringsydelse sygedagpenge ledighedsydelse og ressourceforløbsydelse til personer der deltager i tilbud e_B20140155305_P1-4","BEK om kommunernes ret til refusion af udgifterne til uddannelseshjælp, kontanthjælp, revalideringsydelse, sygedagpenge, ledighedsydelse og ressourceforløbsydelse til personer, der deltager i tilbud efter lov om en aktiv beskæftigelsesindsats","§ 1-4","B20140155305_P1-4",[[Category:NaN_KLE_Data]]
"BEK om sundhedsfaglig rådgivning til brug for sagsbehandlingen i sager om sygedagpenge kontanthjælp revalidering m.v._B20140155605","BEK om sundhedsfaglig rådgivning til brug for sagsbehandlingen i sager om sygedagpenge, kontanthjælp, revalidering m.v.","","B20140155605",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P36-38","LBK om aktiv socialpolitik","§ 36-38","A20140119329_P36-38",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P42","LBK om aktiv socialpolitik","§ 42, Stk.1-5","A20140119329_P42",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P39-40","LBK om aktiv socialpolitik","§ 39-40","A20140119329_P39-40",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P44a-45","LBK om aktiv socialpolitik","§ 44a-45","A20140119329_P44a-45",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P41","LBK om aktiv socialpolitik","§ 41","A20140119329_P41",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P52","LBK om aktiv socialpolitik","§ 52","A20140119329_P52",[[Category:NaN_KLE_Data]]
"BEK om kommunernes ret til refusion af udgifterne til uddannelseshjælp kontanthjælp revalideringsydelse sygedagpenge ledighedsydelse og ressourceforløbsydelse til personer der deltager i tilbud e_B20140155305_P5-6","BEK om kommunernes ret til refusion af udgifterne til uddannelseshjælp, kontanthjælp, revalideringsydelse, sygedagpenge, ledighedsydelse og ressourceforløbsydelse til personer, der deltager i tilbud efter lov om en aktiv beskæftigelsesindsats","§ 5-6","B20140155305_P5-6",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P74-74h","LBK om aktiv socialpolitik","§ 74-74h","A20140119329_P74-74h",[[Category:NaN_KLE_Data]]
"BEK om beregning af og fradrag i ledighedsydelsen samt varsling af ferie med ledighedsydelse_B20140081205","BEK om beregning af og fradrag i ledighedsydelsen samt varsling af ferie med ledighedsydelse","","B20140081205",[[Category:NaN_KLE_Data]]
"BEK om kommunernes ret til refusion af udgifterne til uddannelseshjælp kontanthjælp revalideringsydelse sygedagpenge ledighedsydelse og ressourceforløbsydelse til personer der deltager i tilbud e_B20140155305_P11-12","BEK om kommunernes ret til refusion af udgifterne til uddannelseshjælp, kontanthjælp, revalideringsydelse, sygedagpenge, ledighedsydelse og ressourceforløbsydelse til personer, der deltager i tilbud efter lov om en aktiv beskæftigelsesindsats","§ 11-12","B20140155305_P11-12",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P74i","LBK om aktiv socialpolitik","§ 74i","A20140119329_P74i",[[Category:NaN_KLE_Data]]
"BEK om kommunernes ret til refusion af udgifterne til uddannelseshjælp kontanthjælp revalideringsydelse sygedagpenge ledighedsydelse og ressourceforløbsydelse til personer der deltager i tilbud e_B20140155305_P11-12","BEK om kommunernes ret til refusion af udgifterne til uddannelseshjælp, kontanthjælp, revalideringsydelse, sygedagpenge, ledighedsydelse og ressourceforløbsydelse til personer, der deltager i tilbud efter lov om en aktiv beskæftigelsesindsats","§ 11-12","B20140155305_P11-12",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P79-80","LBK om aktiv socialpolitik","§ 79-80","A20140119329_P79-80",[[Category:NaN_KLE_Data]]
"BEK om Den Supplerende Arbejdsmarkedspension for Førtidspensionister_B20130019205","BEK om Den Supplerende Arbejdsmarkedspension for Førtidspensionister","","B20130019205",[[Category:NaN_KLE_Data]]
"Lov om ændring af lov om en aktiv beskæftigelsesindsats lov om aktiv socialpolitik lov om social pension og forskellige andre love_A20120138030 _P68","Lov om ændring af lov om en aktiv beskæftigelsesindsats, lov om aktiv socialpolitik, lov om social pension og forskellige andre love","§ 68","A20120138030 _P68",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_Kap6a","LBK om aktiv socialpolitik","Kap.6a","A20140119329_Kap6a",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P69j-69r","LBK om aktiv socialpolitik","§ 69j-69r","A20140119329_P69j-69r",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P11","LBK om aktiv socialpolitik","§ 11","A20140119329_P11",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P23-24","LBK om aktiv socialpolitik","§ 23-24","A20140119329_P23-24",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P34a-34b","LBK om aktiv socialpolitik","§ 34a-34b","A20140119329_P34a-34b",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P34","LBK om aktiv socialpolitik","§ 34","A20140119329_P34",[[Category:NaN_KLE_Data]]
"BEK om særlig støtte efter § 34 i lov om aktiv socialpolitik_B20140157205","BEK om særlig støtte efter § 34 i lov om aktiv socialpolitik","","B20140157205",[[Category:NaN_KLE_Data]]
"Lov om en 2-årig forsøgsordning om jobpræmie til kontanthjælpsmodtagere med langvarig ledighed m.v._A20120047330","Lov om en 2-årig forsøgsordning om jobpræmie til kontanthjælpsmodtagere med langvarig ledighed m.v.","","A20120047330",[[Category:NaN_KLE_Data]]
"LBK om fleksydelse_A20140094329","LBK om fleksydelse","","A20140094329",[[Category:NaN_KLE_Data]]
"BEK om ansøgning om kontant og skattefri udbetaling af fleksydelsesbidrag og kommunernes vejledning_B20110140705","BEK om ansøgning om kontant og skattefri udbetaling af fleksydelsesbidrag og kommunernes vejledning","","B20110140705",[[Category:NaN_KLE_Data]]
"BEK om fleksydelse_B20150055905","BEK om fleksydelse","","B20150055905",[[Category:NaN_KLE_Data]]
"Lov om ændring af lov om en aktiv beskæftigelsesindsats lov om aktiv socialpolitik lov om social pension og forskellige andre love_A20120138030 ","Lov om ændring af lov om en aktiv beskæftigelsesindsats, lov om aktiv socialpolitik, lov om social pension og forskellige andre love","","A20120138030 ",[[Category:NaN_KLE_Data]]
"LBK om en aktiv beskæftigelsesindsats_A20140099029_P70f","LBK om en aktiv beskæftigelsesindsats","§ 70f","A20140099029_P70f",[[Category:NaN_KLE_Data]]
"Sygedagpengeloven_A20150004329_P6","Sygedagpengeloven","§ 6","A20150004329_P6",[[Category:NaN_KLE_Data]]
"BEK om kommunernes ret til refusion af udgifterne til uddannelseshjælp kontanthjælp revalideringsydelse sygedagpenge ledighedsydelse og ressourceforløbsydelse til personer der deltager i tilbud e_B20140155305_P7-10","BEK om kommunernes ret til refusion af udgifterne til uddannelseshjælp, kontanthjælp, revalideringsydelse, sygedagpenge, ledighedsydelse og ressourceforløbsydelse til personer, der deltager i tilbud efter lov om en aktiv beskæftigelsesindsats","§ 7-10","B20140155305_P7-10",[[Category:NaN_KLE_Data]]
"BEK om sygedagpenge_B20060066505","BEK om sygedagpenge","","B20060066505",[[Category:NaN_KLE_Data]]
"BEK om sygedagpenge til søfarende_B20120072805","BEK om sygedagpenge til søfarende","","B20120072805",[[Category:NaN_KLE_Data]]
"Sygedagpengeloven_A20150004329_P56","Sygedagpengeloven","§ 56","A20150004329_P56",[[Category:NaN_KLE_Data]]
"Sygedagpengeloven_A20150004329_P58a","Sygedagpengeloven","§ 58a","A20150004329_P58a",[[Category:NaN_KLE_Data]]
"Barselsloven_A20150057129_P19","Barselsloven","§ 19","A20150057129_P19",[[Category:NaN_KLE_Data]]
"BEK om ret til barseldagpenge_B20120110905","BEK om ret til barseldagpenge","","B20120110905",[[Category:NaN_KLE_Data]]
"Barselsloven_A20150057129_P26","Barselsloven","§ 26","A20150057129_P26",[[Category:NaN_KLE_Data]]
"Repatrieringsloven_A20140109929_P7-10","Repatrieringsloven","§ 7-10","A20140109929_P7-10",[[Category:NaN_KLE_Data]]
"BEK om betingelserne for og fremgangsmåden ved udbetaling af reintegrationsbistand_B20140041605","BEK om betingelserne for og fremgangsmåden ved udbetaling af reintegrationsbistand","","B20140041605",[[Category:NaN_KLE_Data]]
"Vejledning om EF-regler om social sikring – Familieydelser_C20130923060","Vejledning om EF-regler om social sikring – Familieydelser","","C20130923060",[[Category:NaN_KLE_Data]]
"Vejledning om EF-regler om social sikring - Generel introduktion og fælles regler_C20130922860","Vejledning om EF-regler om social sikring - Generel introduktion og fælles regler","","C20130922860",[[Category:NaN_KLE_Data]]
"Vejledning om EF-regler om social sikring - Lovvalg_C20130922960","Vejledning om EF-regler om social sikring - Lovvalg","","C20130922960",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P73","Sundhedsloven","§ 73","A20140120229_P73",[[Category:NaN_KLE_Data]]
"Dødsboskifteloven_A19960038330","Dødsboskifteloven","","A19960038330",[[Category:NaN_KLE_Data]]
"LBK om klage- og erstatningsadgang inden for sundhedsvæsenet_A20110111329_P5","LBK om klage- og erstatningsadgang inden for sundhedsvæsenet","§ 5, Stk.1","A20110111329_P5",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P160","Sundhedsloven","§ 160","A20140120229_P160",[[Category:NaN_KLE_Data]]
"BEK om beregning og udbetaling af begravelseshjælp efter sundhedsloven_B20150056105","BEK om beregning og udbetaling af begravelseshjælp efter sundhedsloven","","B20150056105",[[Category:NaN_KLE_Data]]
"LBK om klage- og erstatningsadgang inden for sundhedsvæsenet_A20110111329_P5","LBK om klage- og erstatningsadgang inden for sundhedsvæsenet","§ 5, Stk.1","A20110111329_P5",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P168","Sundhedsloven","§ 168","A20140120229_P168",[[Category:NaN_KLE_Data]]
"BEK om tilskud til sundhedsydelser uden for sygehusvæsenet købt i eller leveret fra andre EU/EØS-lande_B20130166005","BEK om tilskud til sundhedsydelser uden for sygehusvæsenet købt i eller leveret fra andre EU/EØS-lande","","B20130166005",[[Category:NaN_KLE_Data]]
"BEK om tilskud til sundhedsydelser uden for sygehusvæsenet købt i eller leveret fra andre EU/EØS-lande_B20130166005 ","BEK om tilskud til sundhedsydelser uden for sygehusvæsenet købt i eller leveret fra andre EU/EØS-lande","","B20130166005 ",[[Category:NaN_KLE_Data]]
"LBK om klage- og erstatningsadgang inden for sundhedsvæsenet_A20110111329_P5","LBK om klage- og erstatningsadgang inden for sundhedsvæsenet","§ 5, Stk.1","A20110111329_P5",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P224","Sundhedsloven","§ 224","A20140120229_P224",[[Category:NaN_KLE_Data]]
"Sundhedsloven_A20140120229_P228","Sundhedsloven","§ 228","A20140120229_P228",[[Category:NaN_KLE_Data]]
"BEK om udbetaling af visse kontantydelser til sikrede_B20080071105","BEK om udbetaling af visse kontantydelser til sikrede","","B20080071105",[[Category:NaN_KLE_Data]]
"Udbetaling Danmark-loven_A20120032430_P10","Udbetaling Danmark-loven","§ 10","A20120032430_P10",[[Category:NaN_KLE_Data]]
"Udbetaling Danmark-loven_A20120032430_P10-11a","Udbetaling Danmark-loven","§ 10-11a","A20120032430_P10-11a",[[Category:NaN_KLE_Data]]
"Retssikkerhedsloven_A20140101929_P11-12b","Retssikkerhedsloven","§ 11-12b","A20140101929_P11-12b",[[Category:NaN_KLE_Data]]
"Dagtilbudsloven_A20150016729_P93-93a","Dagtilbudsloven","§ 93-93a","A20150016729_P93-93a",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P43","LBK om aktiv socialpolitik","§ 43","A20140119329_P43",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P44a-45","LBK om aktiv socialpolitik","§ 44a-45","A20140119329_P44a-45",[[Category:NaN_KLE_Data]]
"LBK om aktiv socialpolitik_A20140119329_P91-97","LBK om aktiv socialpolitik","§ 91-97","A20140119329_P91-97",[[Category:NaN_KLE_Data]]
"Serviceloven_A20150015029_P164","Serviceloven","§ 164","A20150015029_P164",[[Category:NaN_KLE_Data]]
"BEK om kommunalbestyrelsens og Udbetaling Danmarks opkrævning af tilbagebetalingskrav efter lov om social service lov om social pension og lov om højeste mellemste forhøjet almindelig og almindelig_B20130136805","BEK om kommunalbestyrelsens og Udbetaling Danmarks opkrævning af tilbagebetalingskrav efter lov om social service, lov om social pension og lov om højeste, mellemste, forhøjet almindelig og almindelig førtidspension m.v.","","B20130136805",[[Category:NaN_KLE_Data]]
"BEK om kommunernes opkrævning af tilbagebetalingskrav efter lov om aktiv socialpolitik og § 70 f stk. 10 i lov om en aktiv beskæftigelsesindsats_B20130150205","BEK om kommunernes opkrævning af tilbagebetalingskrav efter lov om aktiv socialpolitik og § 70 f, stk. 10, i lov om en aktiv beskæftigelsesindsats","","B20130150205",[[Category:NaN_KLE_Data]]
"Udbetaling Danmark-loven_A20120032430_P12","Udbetaling Danmark-loven","§ 12","A20120032430_P12",[[Category:NaN_KLE_Data]]
"Udbetaling Danmark-loven_A20120032430_P12e","Udbetaling Danmark-loven","§ 12e","A20120032430_P12e",[[Category:NaN_KLE_Data]]
"Udbetaling Danmark-loven_A20120032430_P12g","Udbetaling Danmark-loven","§ 12g","A20120032430_P12g",[[Category:NaN_KLE_Data]]
"Udbetaling Danmark-loven_A20120032430_P3","Udbetaling Danmark-loven","§ 3, Stk.2-3","A20120032430_P3",[[Category:NaN_KLE_Data]]
"BEK om indberetning til Uddannelsesguiden_B20090055105","BEK om indberetning til Uddannelsesguiden","","B20090055105",[[Category:NaN_KLE_Data]]
"BEK om specialundervisning for voksne_B20060037805","BEK om specialundervisning for voksne","","B20060037805",[[Category:NaN_KLE_Data]]
"LBK om specialundervisning for voksne_A20110092929_P1","LBK om specialundervisning for voksne","§ 1","A20110092929_P1",[[Category:NaN_KLE_Data]]
